product_id,product_name,category,price
1,A liberdade de mudar com toda a tranquilidade,Livros,88.51
2,A possibilidade de ganhar com confiança,Cozinha,36.23
3,A simplicidade de atingir seus objetivos com força total,Livros,367.54
4,O direito de inovar simplesmente,Esportes,178.56
5,A segurança de mudar em estado puro,Eletrônicos,491.57
6,A liberdade de ganhar simplesmente,Cozinha,114.9
7,A vantagem de mudar em estado puro,Vestuário,469.38
8,A certeza de realizar seus sonhos direto da fonte,Cozinha,90.82
9,A liberdade de avançar sem preocupação,Esportes,142.35
10,A certeza de mudar com confiança,Eletrônicos,313.51
11,A vantagem de atingir seus objetivos direto da fonte,Eletrônicos,338.78
12,O prazer de conseguir com confiança,Eletrônicos,54.68
13,O prazer de evoluir sem preocupação,Cozinha,73.09
14,A arte de conseguir mais facilmente,Livros,429.41
15,A segurança de inovar naturalmente,Eletrônicos,268.07
16,A liberdade de avançar em estado puro,Livros,128.47
17,O prazer de concretizar seus projetos com força total,Cozinha,173.39
18,A vantagem de conseguir direto da fonte,Eletrônicos,180.55
19,A segurança de realizar seus sonhos simplesmente,Esportes,103.43
20,O direito de mudar mais facilmente,Eletrônicos,44.96
21,A simplicidade de atingir seus objetivos de maneira eficaz,Vestuário,125.7
22,A vantagem de realizar seus sonhos com confiança,Cozinha,303.45
23,A certeza de conseguir mais facilmente,Vestuário,437.16
24,O direito de evoluir em estado puro,Livros,53.51
25,A vantagem de concretizar seus projetos de maneira eficaz,Cozinha,360.83
26,A liberdade de avançar mais facilmente,Eletrônicos,392.06
27,A arte de atingir seus objetivos mais rapidamente,Eletrônicos,268.8
28,O poder de evoluir sem preocupação,Esportes,208.72
29,A certeza de inovar em estado puro,Cozinha,226.34
30,A vantagem de concretizar seus projetos mais rapidamente,Livros,23.68
31,A possibilidade de concretizar seus projetos sem preocupação,Esportes,383.2
32,A simplicidade de concretizar seus projetos com força total,Eletrônicos,322.14
33,A simplicidade de atingir seus objetivos direto da fonte,Cozinha,163.61
34,A possibilidade de atingir seus objetivos com toda a tranquilidade,Livros,447.13
35,A simplicidade de ganhar naturalmente,Esportes,45.1
36,O direito de mudar antes de tudo,Livros,485.16
37,O poder de concretizar seus projetos sem preocupação,Esportes,429.04
38,A possibilidade de concretizar seus projetos naturalmente,Eletrônicos,346.05
39,A possibilidade de ganhar direto da fonte,Esportes,249.63
40,A simplicidade de ganhar com confiança,Esportes,116.15
41,O prazer de ganhar mais facilmente,Cozinha,20.04
42,O prazer de avançar direto da fonte,Livros,355.78
43,O direito de atingir seus objetivos simplesmente,Vestuário,148.61
44,O conforto de mudar com força total,Esportes,154.74
45,A possibilidade de concretizar seus projetos simplesmente,Cozinha,284.99
46,A vantagem de atingir seus objetivos naturalmente,Livros,124.42
47,A certeza de mudar direto da fonte,Cozinha,397.85
48,A simplicidade de realizar seus sonhos com confiança,Eletrônicos,346.37
49,O prazer de evoluir de maneira eficaz,Eletrônicos,277.11
50,A simplicidade de inovar em estado puro,Vestuário,346.26
